Race Number,Track,Pos,St,#,Driver,Sponsor / Owner,Car,Laps,Status,Led,Pts,PPts,Track Type
21,Michigan,1,3,4,   Kevin Harvick,Busch Light Apple   (Stewart Haas Racing),Ford,161,running,92,60,7,Oval
21,Michigan,2,5,2,   Brad Keselowski,Discount Tire   (Roger Penske),Ford,161,running,0,47,0,Oval
21,Michigan,3,12,19,   Martin Truex Jr,Auto-Owners Insurance   (Joe Gibbs),Toyota,161,running,0,34,0,Oval
21,Michigan,4,11,12,   Ryan Blaney,Menards / Knauf   (Roger Penske),Ford,161,running,27,50,0,Oval
21,Michigan,5,7,18,   Kyle Busch,M&M's Fudge Brownie   (Joe Gibbs),Toyota,161,running,4,39,0,Oval
21,Michigan,6,2,11,   Denny Hamlin,FedEx Ground   (Joe Gibbs),Toyota,161,running,10,48,0,Oval
21,Michigan,7,8,9,   Chase Elliott,NAPA Auto Parts   (Rick Hendrick),Chevrolet,161,running,9,33,0,Oval
21,Michigan,8,1,22,   Joey Logano,Shell / Pennzoil   (Roger Penske),Ford,161,running,18,29,0,Oval
21,Michigan,9,24,43,   Bubba Wallace,Victory Junction   (Richard Petty Motorsports),Chevrolet,161,running,0,28,0,Oval
21,Michigan,10,10,1,   Kurt Busch,Monster Energy   (Chip Ganassi),Chevrolet,161,running,0,38,0,Oval
21,Michigan,11,23,20,   Erik Jones,Stanley   (Joe Gibbs),Toyota,161,running,0,38,0,Oval
21,Michigan,12,17,48,   Jimmie Johnson,"Ally ""Fueling Futures""   (Rick Hendrick)",Chevrolet,161,running,0,26,0,Oval
21,Michigan,13,29,95,   Christopher Bell,Procore   (Leavine Family Racing),Toyota,161,running,0,24,0,Oval
21,Michigan,14,19,24,   William Byron,Axalta   (Rick Hendrick),Chevrolet,161,running,0,23,0,Oval
21,Michigan,15,15,21,   Matt DiBenedetto,#FordStrong Technicians   (Wood Brothers),Ford,161,running,0,22,0,Oval
21,Michigan,16,4,10,   Aric Almirola,Smithfield Hometown Originals   (Stewart Haas Racing),Ford,161,running,0,21,0,Oval
21,Michigan,17,20,42,   Matt Kenseth,Credit One Bank   (Chip Ganassi),Chevrolet,161,running,0,20,0,Oval
21,Michigan,18,14,8,   Tyler Reddick,Chevy Accessories   (Richard Childress),Chevrolet,161,running,0,19,0,Oval
