Track, EndPos, StartPos, CarNumber, Driver, Sponsor, Manufacturer, Laps, Led, Pts, PPts
Bristol (Dirt),17,4,18, Kyle Busch,M&M's Messages  (Joe Gibbs),Toyota,253,running,7,20,0
Bristol (Dirt),18,22,37, Ryan Preece,Bush's Beans / Kroger  (JTG-Daugherty Racing),Chevrolet,253,running,0,19,0
Bristol (Dirt),19,5,19, Martin Truex Jr,Auto-Owners Insurance  (Joe Gibbs),Toyota,253,running,126,35,1
Bristol (Dirt),20,25,14, Chase Briscoe,HighPoint.com  (Stewart Haas Racing),Ford,252,running,0,17,0
Bristol (Dirt),21,9,3, Austin Dillon,Bass Pro Shops / Tracker Off Road  (Richard Childress),Chevrolet,252,running,0,16,0
Bristol (Dirt),22,7,48, Alex Bowman,Ally  (Rick Hendrick),Chevrolet,252,running,0,15,0
Bristol (Dirt),23,32,77, Stewart Friesen,Halmar International  (Spire Motorsports),Chevrolet,252,running,0,0,0
Bristol (Dirt),24,21,41, Cole Custer,HaasTooling.com  (Stewart Haas Racing),Ford,252,running,0,13,0
Bristol (Dirt),25,33,0, Quin Houff,Mane 'n Tail  (StarCom Racing),Chevrolet,252,running,0,12,0
Bristol (Dirt),26,39,96, Ty Dillon,Bass Pro Shops  (Gaunt Brothers),Toyota,252,running,0,0,0
Bristol (Dirt),27,19,23, Bubba Wallace,Door Dash  (23XI Racing),Toyota,251,running,0,18,0
Bristol (Dirt),28,34,53, J.J. Yeley,Jacob Companies  (Rick Ware),Chevrolet,249,running,0,0,0
Bristol (Dirt),29,1,5, Kyle Larson,Freightliner  (Rick Hendrick),Chevrolet,248,running,0,8,0
Bristol (Dirt),30,37,52, Josh Bilicki,Junction Fuels  (Rick Ware),Ford,247,running,0,7,0
Bristol (Dirt),31,38,66, Mike Marlar,LiftKits4Less.com  (Carl Long),Toyota,244,crash,0,6,0
Bristol (Dirt),32,31,51, Cody Ware,Nurtec ODT  (Rick Ware),Chevrolet,242,running,0,0,0
Bristol (Dirt),33,36,15, Chris Windom,NOS Energy Drink  (Rick Ware),Chevrolet,62,engine,0,4,0
Bristol (Dirt),34,15,20, Christopher Bell,"Irwin ""Trade Strong""  (Joe Gibbs)",Toyota,54,crash,0,3,0
Bristol (Dirt),35,17,42, Ross Chastain,Clover  (Chip Ganassi),Chevrolet,52,crash,0,2,0
Bristol (Dirt),36,23,10, Aric Almirola,Smithfield  (Stewart Haas Racing),Ford,39,crash,0,1,0
Bristol (Dirt),37,35,78, Shane Golobic,Elk Grove Ford / NOS Energy  (B.J. McLeod),Ford,39,crash,0,1,0
Bristol (Dirt),38,30,7, Corey LaJoie,NASCAR Trucks at Knoxville  (Spire Motorsports),Chevrolet,39,crash,0,1,0
Bristol (Dirt),39,29,38, Anthony Alfredo,Dude Wipes  (Bob Jenkins),Ford,39,crash,0,1,0
Martinsville,1,7,19, Martin Truex Jr,Bass Pro Shops / Tracker Boats & ATVs  (Joe Gibbs),Toyota,500,running,20,56,5
Martinsville,2,5,9, Chase Elliott,NAPA Auto Parts  (Rick Hendrick),Chevrolet,500,running,0,49,0
Martinsville,3,2,11, Denny Hamlin,FedEx Office  (Joe Gibbs),Toyota,500,running,276,52,0
Martinsville,4,3,24, William Byron,Liberty University  (Rick Hendrick),Chevrolet,500,running,9,42,0
Martinsville,5,19,5, Kyle Larson,Hendrickcars.com  (Rick Hendrick),Chevrolet,500,running,0,38,0
Martinsville,6,1,22, Joey Logano,Shell / Pennzoil  (Roger Penske),Ford,500,running,6,33,0
Martinsville,7,23,20, Christopher Bell,Toyota  (Joe Gibbs),Toyota,500,running,9,31,0
Martinsville,8,13,8, Tyler Reddick,Childress Vineyards  (Richard Childress),Chevrolet,500,running,0,32,0
Martinsville,9,9,4, Kevin Harvick,Busch NA  (Stewart Haas Racing),Ford,500,running,0,28,0
